words,sentiment_coeff
is,1.044951808199921
good,1.036643297408026
the,-1.0655187303207156
and,-1.041125775113667
of,-1.039767932814708
but,1.036606611948171
in,-1.0340707666478317
not,-1.0333178307882633
are,1.0143927310933312
teaching,1.0441921824409455
all,-1.027270156328658
punctuality,-1.0117381842358033
to,1.027692146456088
very,1.0247965613581733
lecture_delivery,0.9827121077855164
students,1.0437719666652319
interaction,1.025806862262349
university,-1.025404239161935
it,-1.0281609632960544
a,1.0400019304259709
teacher,-1.0319097960186612
faculty,-1.0159037887764328
also,-1.0219456415279111
some,-1.0055459738075132
teachers,-1.0391542186665983
teachers_are,-0.9899364383111935
lectures,-1.0220210938944394
well,1.0416187021780128
they,-1.0060112572055762
there,-1.0214983185358122
that,-1.0261300408947527
in_terms,1.0026207662767
subject,-1.0217494429858038
our,-1.031622424171208
time,1.0055229390052363
everything,-1.0105523634901172
for,-1.0325131639951612
delivery,1.0202324289818432
as,-1.0181019788515673
he,1.0509378184101164
can,-0.9975643756009425
really,-1.0442532100592072
same,-1.020604910585692
more,0.9993801250111525
but_it,1.0127110330838776
on,1.0552983106393798
student,-1.018423425174642
punctual,1.0110091811489534
by,1.0351323408205202
interaction_with,-1.0163277887417337
was,1.0261510371895248
fine,-1.0056632060895445
should,1.0113288279836827
its,1.0150974417255803
excellent_but,1.0171321511527047
different,1.0167922517346069
lecture,1.0169401189610903
our_university,-1.0119135750083572
i,1.0126076907558617
properly,1.0150414350217283
like,-1.0210814760628475
with,1.0217825308574762
way_of,-1.0374164129412855
be,-1.0250063004797556
have,-1.0247076858893396
interact,1.0228957773566731
way,-1.039392969260835
quite_good,-1.0242163709417418
we,-1.0242281389394525
do,-1.0419465830198456
good_regarding,1.0237916619920975
quality,1.0436434323135229
staff,1.0210459901948388
in_this,-1.0045177616783498
knowledge,-1.011327177032118
get,-1.0140439686524299
excellent,-1.035325828604643
to_understand,-1.006149226966151
it_s,0.9984535776285008
some_lecturers,1.0010264562037596
are_showing,-1.0102336549655293
partiality_between,1.0149106653618307
interaction_between,-1.0025250567616435
very_punctual,1.0149806879132783
experienced,0.9930094520769693
bad,1.0186572037702366
their,-1.0095268309880023
interactive,-1.0008767975763668
style,-1.0028681525186296
topic,-1.0097220356506098
when,1.0178946800384683
the_mark,1.0007577546948694
so,1.0334497116017143
about,-1.0114687916337728
terms,1.0194331978156101
us_to,1.0194880136829052
which,-1.0247194329171332
not_so,-1.0094766929309396
or,1.0293585746471596
sometimes,-1.0207412721980293
no,-1.010705831673175
very_bad,1.045943319235544
more_than,1.025098099320368
concepts,-1.0133806876643605
enough,0.9984325929081811
here,-1.0027289607453436
every,-0.9968399998103531
btech,-1.0027600597762398
answer,1.0402408611581926
